pcpt,conf,num_trial,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,DC,3,49,26,23,,,,,,,,,,,,,,
4,PR,8,40,54,35,39,36,38,16,15,,,,,,,,,
5,PR,10,62,34,39,50,16,48,36,23,29,22,,,,,,,
6,PR,3,22,18,22,,,,,,,,,,,,,,
7,DC,5,90,39,29,50,26,,,,,,,,,,,,
8,PR,6,35,28,41,23,23,23,,,,,,,,,,,
9,PR,5,29,36,27,24,21,,,,,,,,,,,,
10,PR,12,100,37,48,37,34,30,22,31,49,26,24,25,,,,,
11,DC,6,39,41,40,46,30,25,,,,,,,,,,,
12,CC,7,94,53,63,80,16,22,16,,,,,,,,,,
13,PR,5,30,35,19,34,21,,,,,,,,,,,,
14,CC,8,24,36,29,65,32,24,28,18,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,
16,CC,5,44,35,23,27,21,,,,,,,,,,,,
17,CC,4,31,19,31,25,,,,,,,,,,,,,
18,DC,8,42,62,43,59,57,37,31,30,,,,,,,,,
19,PR,12,33,27,60,30,21,50,27,25,49,20,16,28,,,,,
20,PR,4,65,29,27,21,,,,,,,,,,,,,
21,DC,9,37,44,47,51,32,56,30,29,24,,,,,,,,
22,DC,3,36,32,34,,,,,,,,,,,,,,
23,DC,15,119,100,63,60,55,45,34,46,44,39,36,32,32,30,34,,
24,PR,6,61,42,25,23,19,18,,,,,,,,,,,
25,CC,4,26,20,35,15,,,,,,,,,,,,,
26,CC,13,89,42,33,26,30,29,32,28,80,74,22,28,19,,,,
27,PR,5,30,42,26,22,20,,,,,,,,,,,,
28,CC,8,25,35,27,27,36,31,18,25,,,,,,,,,
